2025-04-03 21:46:09 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.EnderecoService - Endereço não encontrado.
2025-04-03 21:46:09 [http-nio-9090-exec-2] ERROR c.a.b.controller.EnderecoController - Nenhum endereço encontrado para o cep: 24900000
2025-04-03 22:14:25 [http-nio-9090-exec-1] INFO  c.a.b.controller.EnderecoController - Requisição informando o CEP a ser buscado e Token para autenticar o usuário recebida.
2025-04-03 22:14:25 [http-nio-9090-exec-1] INFO  c.a.b.controller.EnderecoController - Usuário autenticado com sucesso.
2025-04-03 22:14:25 [http-nio-9090-exec-1] INFO  c.a.b.infra.service.EnderecoService - Endereço não registrado localmente, tentativa de conexão à ViaCep inicializada.
2025-04-03 22:14:25 [http-nio-9090-exec-1] INFO  c.a.b.infra.service.EnderecoService - Método para buscar endereço acionado, argumento cep: 24900000
2025-04-03 22:14:25 [http-nio-9090-exec-1] INFO  c.a.b.infra.service.CepService - Requisição para ViaCep montada. URL: https://viacep.com.br/ws/24900000/json/
2025-04-03 22:14:27 [http-nio-9090-exec-1] INFO  c.a.b.infra.service.EnderecoService - Conexão com ViaCep bem sucedida
2025-04-03 22:14:27 [http-nio-9090-exec-1] INFO  c.a.b.infra.service.EnderecoService - Endereço não encontrado.
2025-04-03 22:14:27 [http-nio-9090-exec-1] ERROR c.a.b.controller.EnderecoController - Nenhum endereço encontrado. Retorno 404
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.controller.EnderecoController - Requisição informando o CEP a ser buscado e Token para autenticar o usuário recebida.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.controller.EnderecoController - Usuário autenticado com sucesso.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.EnderecoService - Endereço não registrado localmente, tentativa de conexão à ViaCep inicializada.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.EnderecoService - Método para buscar endereço acionado, argumento cep: 05407002
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.CepService - Requisição para ViaCep montada. URL: https://viacep.com.br/ws/05407002/json/
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.EnderecoService - Conexão com ViaCep bem sucedida
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.EnderecoService - Endereço encontrado.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.infra.service.EnderecoService - EnderecoDTO convertido para Endereco e salvo no banco de dados com sucesso.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.i.service.SalvarBuscaService - Método salvarBusca chamado.
2025-04-03 22:15:16 [http-nio-9090-exec-3] INFO  c.a.b.i.service.SalvarBuscaService - Instância de busca com data/hora, endereço e user criada e setada corretamente e salva no banco de dados.
